data,roll(fi) angle,pitch(theta) angle
1970-01-01 13:40:41,-179.7661,-12.7081
1970-01-01 13:40:51,-179.413,-12.3104
1970-01-01 13:41:01,-179.7041,-12.5788
1970-01-01 13:41:11,179.9398,-12.1647
1970-01-01 13:41:21,179.3937,-11.8911
1970-01-01 13:41:31,180.0,-12.4211
1970-01-01 13:41:41,-179.763,-13.6591
1970-01-01 13:41:51,-179.8823,-13.8423
1970-01-01 13:42:01,-179.3563,-14.6533
1970-01-01 13:42:11,179.9412,-15.001
1970-01-01 13:42:21,180.0,-15.4659
1970-01-01 13:42:31,-179.2949,-15.8045
1970-01-01 13:42:41,-179.351,-15.6479
1970-01-01 13:42:51,-179.7642,-15.4145
1970-01-01 13:43:01,179.9415,-15.2947
1970-01-01 13:43:11,179.8221,-15.1195
1970-01-01 13:43:21,-179.9409,-15.0748
1970-01-01 13:43:31,179.5195,-14.9085
1970-01-01 13:43:41,180.0,-14.6645
1970-01-01 13:43:51,-179.646,-15.3746
1970-01-01 13:44:01,-179.5848,-15.8901
1970-01-01 13:44:11,-179.1095,-15.9592
1970-01-01 13:44:21,-179.1636,-15.39
1970-01-01 13:44:31,180.0,-15.4515
1970-01-01 13:44:41,-179.4063,-15.1337
1970-01-01 13:44:51,-179.4657,-15.3549
1970-01-01 13:45:01,180.0,-15.2551
1970-01-01 13:45:11,-179.6438,-14.8572
1970-01-01 13:45:21,179.58,-14.6693
1970-01-01 13:45:31,179.6997,-14.6842
